date,variable,strat,type,median,mean,sd,upper,lower,bottom,top
2020-04-26,infections,NA,Infections,16.532379040972312,16.271818002862428,0.9467524585948429,17.596227606623525,16.28396481104815,15.038886122593969,17.596227606623525
2020-04-27,infections,NA,Infections,14.582843463302716,14.122270605510106,0.6657402265770734,14.715973735591383,14.562379497787322,13.092910231811796,14.715973735591383
2020-04-28,infections,NA,Infections,13.473476937386,13.515472429740845,1.701477976394915,13.480340954820166,11.787547046126782,11.761298237585041,15.989889421334802
2020-04-29,infections,NA,Infections,11.576124836741275,11.213173239352969,0.9330644639407177,12.62645918688635,11.43228862341894,9.924538995063855,12.186084166311733
2020-04-30,infections,NA,Infections,10.707198816511067,10.914797349806356,0.5837322208731994,10.73301194282431,10.325266910073461,10.325266910073461,11.577792565074528
2020-05-01,infections,NA,Infections,11.72595573972065,11.894470699030677,0.8355150994264119,12.271374816895229,10.926342908359914,11.047766040202966,12.881913058246939
2020-05-02,infections,NA,Infections,15.853736754313365,15.705128033208954,3.5819406568234657,18.16389082457711,12.627619802426764,11.869424174641601,20.516253394348006
2020-05-03,infections,NA,Infections,16.37549777347575,16.770960383638794,4.674472629184059,19.038050967219664,12.448329892137757,12.351641385838802,23.707492870224073
2020-05-04,infections,NA,Infections,16.857279704828336,17.971870596664832,6.096199462665916,20.15986911475268,12.955726644871389,12.045522331542426,27.61400421616514
2020-05-05,infections,NA,Infections,17.228342800459963,19.24890349086235,7.872140302413205,21.07235771636614,13.382300670816107,11.714918619372074,32.262849273399965
2020-05-06,infections,NA,Infections,17.651063520927153,20.576122400873448,10.075228056960395,21.718646847928717,13.276535394792418,11.366856749565969,37.753384495271014
2020-05-07,infections,NA,Infections,17.75763338554195,21.945836706818042,12.798474480842486,22.07024937988821,13.048338527592781,11.0083252932599,44.22145278431165
2020-05-08,infections,NA,Infections,17.501398920817184,23.371064915803892,16.143578020031615,22.119927026823756,12.787472340392927,10.645675994262962,51.831034026254294
2020-05-09,infections,NA,Infections,17.087983198879677,24.891582530218237,20.21389035686992,21.878521400459153,11.89754834506961,10.28434037263278,60.77229722698584
2020-05-10,infections,NA,Infections,16.670920735208853,26.577301871765098,25.110718536636984,21.37209090112909,10.590412333161698,9.92871568449082,71.26139324123095
2020-05-11,infections,NA,Infections,16.13421190116425,28.52537939787492,30.93502771840104,20.40574594687686,8.880807931368398,8.880807931368398,83.54058870151147
2020-05-12,infections,NA,Infections,15.502967522597572,30.850993268963734,37.79521441304925,19.482090186404317,7.165835476132582,7.165835476132582,97.87828103781584
2020-05-13,infections,NA,Infections,14.80369039868517,33.67532940371002,45.817964858114735,18.43069720313814,5.533035848305256,5.533035848305256,114.56882128583834
2020-05-14,infections,NA,Infections,14.062411626310436,37.115699154421826,55.15735155925786,17.300344482715538,4.102388547038199,4.102388547038199,133.93231318488324
2020-05-15,infections,NA,Infections,13.303180856109599,41.2811080835172,65.99918313309061,16.13629333545829,2.9349028708189233,2.9349028708189233,156.31476014997298
2020-05-16,infections,NA,Infections,12.547011425712075,46.27353915573342,78.56119116669073,14.978032727731621,2.037816552131211,2.037816552131211,182.0891154537216
